pair	group_a	group_b	window	chrom	start	n_snps	n_windows	mean_window_fst	max_window_fst
K2_vs_K3	K2	K3	3:8400000	3	8400000	49	1	0.291038	0.291038
K2_vs_K3	K2	K3	3:10850000	3	10850000	109	1	0.249857	0.249857
K2_vs_K3	K2	K3	4:150000	4	150000	32	1	0.290209	0.290209
K2_vs_K3	K2	K3	4:850000	4	850000	41	1	0.283955	0.283955
K2_vs_K3	K2	K3	4:6400000	4	6400000	31	1	0.330647	0.330647
K2_vs_K3	K2	K3	4:7600000	4	7600000	54	1	0.248377	0.248377
K2_vs_K3	K2	K3	4:10900000	4	10900000	74	1	0.263329	0.263329
K2_vs_K3	K2	K3	5:25250000	5	25250000	77	1	0.260572	0.260572
K2_vs_K3	K2	K3	6:13200000	6	13200000	75	1	0.253772	0.253772
K2_vs_K3	K2	K3	6:13500000	6	13500000	45	1	0.309321	0.309321
K2_vs_K3	K2	K3	6:18400000	6	18400000	25	1	0.272368	0.272368
K2_vs_K3	K2	K3	7:6900000	7	6900000	53	1	0.257397	0.257397
K2_vs_K3	K2	K3	7:15250000	7	15250000	115	1	0.259137	0.259137
K2_vs_K3	K2	K3	7:21500000	7	21500000	20	1	0.288581	0.288581
K2_vs_K3	K2	K3	7:22400000	7	22400000	38	1	0.258755	0.258755
K2_vs_K3	K2	K3	7:25950000	7	25950000	32	1	0.257292	0.257292
K2_vs_K3	K2	K3	8:1750000	8	1750000	56	1	0.261395	0.261395
K2_vs_K3	K2	K3	8:8950000	8	8950000	37	1	0.26043	0.26043
K2_vs_K3	K2	K3	8:9350000	8	9350000	21	1	0.266449	0.266449
K2_vs_K3	K2	K3	8:11450000	8	11450000	30	1	0.257022	0.257022
K2_vs_K3	K2	K3	8:20400000	8	20400000	24	1	0.246989	0.246989
K2_vs_K3	K2	K3	8:20900000	8	20900000	45	1	0.282886	0.282886
K2_vs_K3	K2	K3	9:5750000	9	5750000	57	1	0.254187	0.254187
K2_vs_K3	K2	K3	9:8700000	9	8700000	105	1	0.255131	0.255131
K2_vs_K3	K2	K3	9:10500000	9	10500000	22	1	0.261737	0.261737
K2_vs_K3	K2	K3	9:13600000	9	13600000	57	1	0.289564	0.289564
K2_vs_K3	K2	K3	9:18350000	9	18350000	140	1	0.248424	0.248424
K2_vs_K3	K2	K3	10:750000	10	750000	88	1	0.297749	0.297749
K2_vs_K3	K2	K3	10:12950000	10	12950000	95	1	0.248279	0.248279
K2_vs_K3	K2	K3	10:17550000	10	17550000	32	1	0.24763	0.24763
K2_vs_K3	K2	K3	11:10550000	11	10550000	74	1	0.281316	0.281316
K2_vs_K3	K2	K3	11:12750000	11	12750000	89	1	0.262125	0.262125
K2_vs_K3	K2	K3	12:17900000	12	17900000	91	1	0.247491	0.247491
K2_vs_K3	K2	K3	13:2150000	13	2150000	52	1	0.261003	0.261003
K2_vs_K3	K2	K3	14:1100000	14	1100000	47	1	0.248216	0.248216
K2_vs_K3	K2	K3	14:1550000	14	1550000	24	1	0.253069	0.253069
K2_vs_K3	K2	K3	14:8700000	14	8700000	40	1	0.276518	0.276518
K2_vs_K3	K2	K3	15:5100000	15	5100000	32	1	0.275045	0.275045
K2_vs_K3	K2	K3	16:7900000	16	7900000	60	1	0.281627	0.281627
K2_vs_K3	K2	K3	18:3850000	18	3850000	36	1	0.286692	0.286692
K2_vs_K3	K2	K3	18:7250000	18	7250000	86	1	0.264348	0.264348
K2_vs_K3	K2	K3	18:7450000	18	7450000	70	1	0.249321	0.249321
K2_vs_K3	K2	K3	18:8300000	18	8300000	47	1	0.257906	0.257906
K2_vs_K3	K2	K3	18:8450000	18	8450000	29	1	0.249427	0.249427
K2_vs_K3	K2	K3	19:3700000	19	3700000	25	1	0.251765	0.251765
K2_vs_K3	K2	K3	19:3950000	19	3950000	38	1	0.261426	0.261426
K2_vs_K3	K2	K3	19:5750000	19	5750000	34	1	0.320409	0.320409
K2_vs_K4	K2	K4	1:10900000	1	10900000	26	1	0.244728	0.244728
K2_vs_K4	K2	K4	1:11100000	1	11100000	47	1	0.228757	0.228757
K2_vs_K4	K2	K4	1:12350000	1	12350000	76	1	0.222851	0.222851
K2_vs_K4	K2	K4	1:23150000	1	23150000	25	1	0.212244	0.212244
K2_vs_K4	K2	K4	1:23600000	1	23600000	44	1	0.238595	0.238595
K2_vs_K4	K2	K4	2:1250000	2	1250000	33	1	0.246604	0.246604
K2_vs_K4	K2	K4	2:1450000	2	1450000	25	1	0.252131	0.252131
K2_vs_K4	K2	K4	2:1650000	2	1650000	39	1	0.209723	0.209723
K2_vs_K4	K2	K4	3:3350000	3	3350000	36	1	0.218175	0.218175
K2_vs_K4	K2	K4	3:5100000	3	5100000	36	1	0.274265	0.274265
K2_vs_K4	K2	K4	3:5250000	3	5250000	37	1	0.248867	0.248867
K2_vs_K4	K2	K4	3:8300000	3	8300000	91	1	0.212188	0.212188
K2_vs_K4	K2	K4	3:9450000	3	9450000	40	1	0.240104	0.240104
K2_vs_K4	K2	K4	3:12600000	3	12600000	60	1	0.215081	0.215081
K2_vs_K4	K2	K4	3:13050000	3	13050000	47	1	0.212899	0.212899
K2_vs_K4	K2	K4	4:2100000	4	2100000	24	1	0.221401	0.221401
K2_vs_K4	K2	K4	4:2350000	4	2350000	57	1	0.215217	0.215217
K2_vs_K4	K2	K4	5:7100000	5	7100000	98	1	0.212062	0.212062
K2_vs_K4	K2	K4	6:13500000	6	13500000	47	1	0.244089	0.244089
K2_vs_K4	K2	K4	6:13650000	6	13650000	115	1	0.268939	0.268939
K2_vs_K4	K2	K4	6:13950000	6	13950000	55	1	0.215195	0.215195
K2_vs_K4	K2	K4	6:16300000	6	16300000	62	1	0.226329	0.226329
K2_vs_K4	K2	K4	6:19100000	6	19100000	53	1	0.241424	0.241424
K2_vs_K4	K2	K4	6:20100000	6	20100000	138	1	0.213252	0.213252
K2_vs_K4	K2	K4	6:20700000	6	20700000	22	1	0.211425	0.211425
K2_vs_K4	K2	K4	6:21400000	6	21400000	41	1	0.214609	0.214609
K2_vs_K4	K2	K4	7:22050000	7	22050000	31	1	0.23291	0.23291
K2_vs_K4	K2	K4	7:22400000	7	22400000	41	1	0.227396	0.227396
K2_vs_K4	K2	K4	7:25200000	7	25200000	34	1	0.211873	0.211873
K2_vs_K4	K2	K4	7:25500000	7	25500000	34	1	0.211699	0.211699
K2_vs_K4	K2	K4	7:25950000	7	25950000	28	1	0.226996	0.226996
K2_vs_K4	K2	K4	8:1800000	8	1800000	42	1	0.242196	0.242196
K2_vs_K4	K2	K4	8:8950000	8	8950000	34	1	0.214712	0.214712
K2_vs_K4	K2	K4	8:11500000	8	11500000	63	1	0.212324	0.212324
K2_vs_K4	K2	K4	8:12250000	8	12250000	89	1	0.218385	0.218385
K2_vs_K4	K2	K4	8:12600000	8	12600000	40	1	0.241047	0.241047
K2_vs_K4	K2	K4	8:13000000	8	13000000	49	1	0.210807	0.210807
K2_vs_K4	K2	K4	8:13700000	8	13700000	42	1	0.245552	0.245552
K2_vs_K4	K2	K4	8:14300000	8	14300000	50	1	0.241243	0.241243
K2_vs_K4	K2	K4	8:20000000	8	20000000	28	1	0.261786	0.261786
K2_vs_K4	K2	K4	9:4800000	9	4800000	59	1	0.211908	0.211908
K2_vs_K4	K2	K4	9:16450000	9	16450000	60	1	0.225684	0.225684
K2_vs_K4	K2	K4	9:17800000	9	17800000	45	1	0.22142	0.22142
K2_vs_K4	K2	K4	10:5700000	10	5700000	54	1	0.214936	0.214936
K2_vs_K4	K2	K4	10:8050000	10	8050000	43	1	0.262431	0.262431
K2_vs_K4	K2	K4	10:11250000	10	11250000	114	1	0.227542	0.227542
K2_vs_K4	K2	K4	10:11400000	10	11400000	48	1	0.221787	0.221787
K2_vs_K4	K2	K4	10:11750000	10	11750000	60	1	0.211447	0.211447
K2_vs_K4	K2	K4	10:18450000	10	18450000	158	1	0.29511	0.29511
K2_vs_K4	K2	K4	11:2500000	11	2500000	23	1	0.220513	0.220513
K2_vs_K4	K2	K4	13:1300000	13	1300000	33	1	0.223442	0.223442
K2_vs_K4	K2	K4	14:1000000	14	1000000	41	1	0.221761	0.221761
K2_vs_K4	K2	K4	14:13350000	14	13350000	23	1	0.220321	0.220321
K2_vs_K4	K2	K4	14:13700000	14	13700000	74	1	0.211695	0.211695
K2_vs_K4	K2	K4	14:19000000	14	19000000	27	1	0.268143	0.268143
K2_vs_K4	K2	K4	16:100000	16	100000	45	1	0.210006	0.210006
K2_vs_K4	K2	K4	16:21800000	16	21800000	34	1	0.229099	0.229099
K2_vs_K4	K2	K4	16:22100000	16	22100000	44	1	0.229898	0.229898
K2_vs_K4	K2	K4	17:7300000	17	7300000	27	1	0.242521	0.242521
K2_vs_K4	K2	K4	17:8250000	17	8250000	39	1	0.209865	0.209865
K2_vs_K4	K2	K4	17:8950000	17	8950000	52	1	0.239477	0.239477
K2_vs_K4	K2	K4	18:600000	18	600000	51	1	0.224201	0.224201
K2_vs_K4	K2	K4	18:850000	18	850000	41	1	0.259185	0.259185
K2_vs_K4	K2	K4	18:8000000	18	8000000	52	1	0.210479	0.210479
K2_vs_K4	K2	K4	18:33750000	18	33750000	68	1	0.232812	0.232812
K2_vs_K4	K2	K4	19:8000000	19	8000000	64	1	0.211314	0.211314
K2_vs_K5	K2	K5	2:4900000	2	4900000	21	1	0.215489	0.215489
K2_vs_K5	K2	K5	2:5500000	2	5500000	32	1	0.197475	0.197475
K2_vs_K5	K2	K5	3:950000	3	950000	54	1	0.21798	0.21798
K2_vs_K5	K2	K5	3:5750000	3	5750000	23	1	0.215761	0.215761
K2_vs_K5	K2	K5	6:8200000	6	8200000	36	1	0.199655	0.199655
K2_vs_K5	K2	K5	6:10450000	6	10450000	106	1	0.20935	0.20935
K2_vs_K5	K2	K5	6:10650000	6	10650000	35	1	0.198862	0.198862
K2_vs_K5	K2	K5	6:10950000	6	10950000	84	1	0.205371	0.205371
K2_vs_K5	K2	K5	6:11800000	6	11800000	113	1	0.201452	0.201452
K2_vs_K5	K2	K5	6:14150000	6	14150000	100	1	0.216451	0.216451
K2_vs_K5	K2	K5	6:20200000	6	20200000	70	1	0.20265	0.20265
K2_vs_K5	K2	K5	7:2300000	7	2300000	24	1	0.225682	0.225682
K2_vs_K5	K2	K5	7:2450000	7	2450000	48	1	0.222909	0.222909
K2_vs_K5	K2	K5	7:25150000	7	25150000	42	1	0.203404	0.203404
K2_vs_K5	K2	K5	7:28500000	7	28500000	99	1	0.198404	0.198404
K2_vs_K5	K2	K5	8:7300000	8	7300000	63	1	0.204994	0.204994
K2_vs_K5	K2	K5	8:7550000	8	7550000	58	1	0.248761	0.248761
K2_vs_K5	K2	K5	8:9200000	8	9200000	32	1	0.198307	0.198307
K2_vs_K5	K2	K5	8:11700000	8	11700000	67	1	0.20251	0.20251
K2_vs_K5	K2	K5	8:12050000	8	12050000	25	1	0.20094	0.20094
K2_vs_K5	K2	K5	8:20000000	8	20000000	32	1	0.216765	0.216765
K2_vs_K5	K2	K5	9:1450000	9	1450000	43	1	0.217985	0.217985
K2_vs_K5	K2	K5	9:18600000	9	18600000	78	1	0.203207	0.203207
K2_vs_K5	K2	K5	10:5350000	10	5350000	33	1	0.197146	0.197146
K2_vs_K5	K2	K5	10:5700000	10	5700000	55	1	0.225832	0.225832
K2_vs_K5	K2	K5	11:2350000	11	2350000	28	1	0.20187	0.20187
K2_vs_K5	K2	K5	11:2500000	11	2500000	35	1	0.227439	0.227439
K2_vs_K5	K2	K5	11:3750000	11	3750000	54	1	0.20419	0.20419
K2_vs_K5	K2	K5	11:4000000	11	4000000	73	1	0.202075	0.202075
K2_vs_K5	K2	K5	11:4700000	11	4700000	62	1	0.207296	0.207296
K2_vs_K5	K2	K5	11:18550000	11	18550000	67	1	0.206345	0.206345
K2_vs_K5	K2	K5	12:6900000	12	6900000	51	1	0.219697	0.219697
K2_vs_K5	K2	K5	14:900000	14	900000	42	1	0.202568	0.202568
K2_vs_K5	K2	K5	14:1200000	14	1200000	78	1	0.203242	0.203242
K2_vs_K5	K2	K5	14:26950000	14	26950000	59	1	0.198783	0.198783
K2_vs_K5	K2	K5	17:6700000	17	6700000	21	1	0.297885	0.297885
K2_vs_K5	K2	K5	17:7300000	17	7300000	33	1	0.247755	0.247755
K2_vs_K5	K2	K5	17:7600000	17	7600000	43	1	0.203736	0.203736
K2_vs_K5	K2	K5	17:8050000	17	8050000	20	1	0.225205	0.225205
K2_vs_K5	K2	K5	17:9650000	17	9650000	37	1	0.208496	0.208496
K2_vs_K5	K2	K5	17:13000000	17	13000000	54	1	0.221683	0.221683
K2_vs_K5	K2	K5	18:10600000	18	10600000	35	1	0.221075	0.221075
K2_vs_K5	K2	K5	18:10750000	18	10750000	41	1	0.201677	0.201677
K2_vs_K5	K2	K5	18:11900000	18	11900000	50	1	0.208367	0.208367
K2_vs_K6	K2	K6	1:12900000	1	12900000	66	1	0.197737	0.197737
K2_vs_K6	K2	K6	1:15650000	1	15650000	47	1	0.174598	0.174598
K2_vs_K6	K2	K6	1:18800000	1	18800000	57	1	0.170977	0.170977
K2_vs_K6	K2	K6	3:5100000	3	5100000	42	1	0.173973	0.173973
K2_vs_K6	K2	K6	3:5250000	3	5250000	41	1	0.192157	0.192157
K2_vs_K6	K2	K6	3:5400000	3	5400000	67	1	0.195477	0.195477
K2_vs_K6	K2	K6	3:5550000	3	5550000	45	1	0.157353	0.157353
K2_vs_K6	K2	K6	3:6250000	3	6250000	58	1	0.170361	0.170361
K2_vs_K6	K2	K6	3:6500000	3	6500000	36	1	0.207777	0.207777
K2_vs_K6	K2	K6	3:6850000	3	6850000	59	1	0.16139	0.16139
K2_vs_K6	K2	K6	4:2100000	4	2100000	24	1	0.176897	0.176897
K2_vs_K6	K2	K6	4:3000000	4	3000000	36	1	0.171293	0.171293
K2_vs_K6	K2	K6	5:7100000	5	7100000	111	1	0.183734	0.183734
K2_vs_K6	K2	K6	5:22950000	5	22950000	60	1	0.161212	0.161212
K2_vs_K6	K2	K6	6:11900000	6	11900000	48	1	0.163943	0.163943
K2_vs_K6	K2	K6	6:12500000	6	12500000	42	1	0.182525	0.182525
K2_vs_K6	K2	K6	6:20700000	6	20700000	22	1	0.157509	0.157509
K2_vs_K6	K2	K6	6:21150000	6	21150000	50	1	0.15799	0.15799
K2_vs_K6	K2	K6	6:21400000	6	21400000	48	1	0.155989	0.155989
K2_vs_K6	K2	K6	7:2450000	7	2450000	48	1	0.158497	0.158497
K2_vs_K6	K2	K6	7:7550000	7	7550000	28	1	0.170635	0.170635
K2_vs_K6	K2	K6	7:8700000	7	8700000	94	1	0.171187	0.171187
K2_vs_K6	K2	K6	7:18500000	7	18500000	27	1	0.184125	0.184125
K2_vs_K6	K2	K6	7:19050000	7	19050000	64	1	0.162652	0.162652
K2_vs_K6	K2	K6	7:21850000	7	21850000	49	1	0.228212	0.228212
K2_vs_K6	K2	K6	7:22050000	7	22050000	35	1	0.165746	0.165746
K2_vs_K6	K2	K6	8:7550000	8	7550000	59	1	0.172326	0.172326
K2_vs_K6	K2	K6	8:7950000	8	7950000	83	1	0.157235	0.157235
K2_vs_K6	K2	K6	8:9650000	8	9650000	49	1	0.176529	0.176529
K2_vs_K6	K2	K6	8:10600000	8	10600000	40	1	0.172079	0.172079
K2_vs_K6	K2	K6	8:14300000	8	14300000	54	1	0.164752	0.164752
K2_vs_K6	K2	K6	9:1200000	9	1200000	50	1	0.172979	0.172979
K2_vs_K6	K2	K6	9:4350000	9	4350000	104	1	0.163377	0.163377
K2_vs_K6	K2	K6	9:4900000	9	4900000	20	1	0.157789	0.157789
K2_vs_K6	K2	K6	9:5700000	9	5700000	79	1	0.156955	0.156955
K2_vs_K6	K2	K6	9:6950000	9	6950000	80	1	0.177035	0.177035
K2_vs_K6	K2	K6	9:7450000	9	7450000	86	1	0.197056	0.197056
K2_vs_K6	K2	K6	9:17800000	9	17800000	51	1	0.167674	0.167674
K2_vs_K6	K2	K6	9:18600000	9	18600000	77	1	0.199335	0.199335
K2_vs_K6	K2	K6	10:850000	10	850000	21	1	0.160763	0.160763
K2_vs_K6	K2	K6	10:5900000	10	5900000	52	1	0.16486	0.16486
K2_vs_K6	K2	K6	10:9100000	10	9100000	56	1	0.160511	0.160511
K2_vs_K6	K2	K6	11:500000	11	500000	33	1	0.161459	0.161459
K2_vs_K6	K2	K6	11:700000	11	700000	23	1	0.156814	0.156814
K2_vs_K6	K2	K6	11:1100000	11	1100000	30	1	0.15671	0.15671
K2_vs_K6	K2	K6	13:1650000	13	1650000	60	1	0.171395	0.171395
K2_vs_K6	K2	K6	13:27750000	13	27750000	45	1	0.181811	0.181811
K2_vs_K6	K2	K6	14:100000	14	100000	51	1	0.169577	0.169577
K2_vs_K6	K2	K6	16:22100000	16	22100000	50	1	0.174564	0.174564
K2_vs_K6	K2	K6	18:600000	18	600000	53	1	0.197982	0.197982
K2_vs_K6	K2	K6	18:8450000	18	8450000	32	1	0.158909	0.158909
K2_vs_K6	K2	K6	18:9500000	18	9500000	41	1	0.19757	0.19757
K2_vs_K7	K2	K7	1:11200000	1	11200000	65	1	0.232331	0.232331
K2_vs_K7	K2	K7	2:300000	2	300000	41	1	0.212506	0.212506
K2_vs_K7	K2	K7	2:5700000	2	5700000	67	1	0.212659	0.212659
K2_vs_K7	K2	K7	2:9050000	2	9050000	47	1	0.206389	0.206389
K2_vs_K7	K2	K7	3:2800000	3	2800000	21	1	0.216156	0.216156
K2_vs_K7	K2	K7	3:3550000	3	3550000	35	1	0.221307	0.221307
K2_vs_K7	K2	K7	3:5800000	3	5800000	53	1	0.199563	0.199563
K2_vs_K7	K2	K7	3:6250000	3	6250000	48	1	0.208217	0.208217
K2_vs_K7	K2	K7	3:7100000	3	7100000	82	1	0.211626	0.211626
K2_vs_K7	K2	K7	4:850000	4	850000	40	1	0.201823	0.201823
K2_vs_K7	K2	K7	4:2900000	4	2900000	31	1	0.250088	0.250088
K2_vs_K7	K2	K7	4:17400000	4	17400000	47	1	0.201747	0.201747
K2_vs_K7	K2	K7	5:23600000	5	23600000	29	1	0.211568	0.211568
K2_vs_K7	K2	K7	6:12500000	6	12500000	39	1	0.229788	0.229788
K2_vs_K7	K2	K7	7:7550000	7	7550000	26	1	0.20951	0.20951
K2_vs_K7	K2	K7	7:8700000	7	8700000	92	1	0.203113	0.203113
K2_vs_K7	K2	K7	7:16050000	7	16050000	92	1	0.208511	0.208511
K2_vs_K7	K2	K7	7:18500000	7	18500000	28	1	0.201681	0.201681
K2_vs_K7	K2	K7	8:8100000	8	8100000	43	1	0.213348	0.213348
K2_vs_K7	K2	K7	8:18250000	8	18250000	34	1	0.202757	0.202757
K2_vs_K7	K2	K7	8:21450000	8	21450000	42	1	0.222427	0.222427
K2_vs_K7	K2	K7	8:22200000	8	22200000	25	1	0.19929	0.19929
K2_vs_K7	K2	K7	9:3750000	9	3750000	57	1	0.199391	0.199391
K2_vs_K7	K2	K7	9:4400000	9	4400000	56	1	0.230092	0.230092
K2_vs_K7	K2	K7	9:7200000	9	7200000	23	1	0.233889	0.233889
K2_vs_K7	K2	K7	9:8650000	9	8650000	66	1	0.207194	0.207194
K2_vs_K7	K2	K7	9:14500000	9	14500000	26	1	0.20986	0.20986
K2_vs_K7	K2	K7	9:18600000	9	18600000	72	1	0.210469	0.210469
K2_vs_K7	K2	K7	9:19800000	9	19800000	73	1	0.264266	0.264266
K2_vs_K7	K2	K7	10:200000	10	200000	36	1	0.205502	0.205502
K2_vs_K7	K2	K7	10:5350000	10	5350000	32	1	0.216664	0.216664
K2_vs_K7	K2	K7	10:5550000	10	5550000	26	1	0.226602	0.226602
K2_vs_K7	K2	K7	10:5700000	10	5700000	59	1	0.228495	0.228495
K2_vs_K7	K2	K7	10:6800000	10	6800000	97	1	0.200314	0.200314
K2_vs_K7	K2	K7	10:17550000	10	17550000	28	1	0.220526	0.220526
K2_vs_K7	K2	K7	11:5050000	11	5050000	83	1	0.202426	0.202426
K2_vs_K7	K2	K7	12:19350000	12	19350000	133	1	0.205221	0.205221
K2_vs_K7	K2	K7	14:5500000	14	5500000	44	1	0.232097	0.232097
K2_vs_K7	K2	K7	14:6050000	14	6050000	74	1	0.200736	0.200736
K2_vs_K7	K2	K7	14:13900000	14	13900000	97	1	0.200879	0.200879
K2_vs_K7	K2	K7	14:17350000	14	17350000	64	1	0.209809	0.209809
K2_vs_K7	K2	K7	14:18050000	14	18050000	58	1	0.212752	0.212752
K2_vs_K7	K2	K7	16:1250000	16	1250000	78	1	0.209494	0.209494
K2_vs_K7	K2	K7	16:5300000	16	5300000	98	1	0.210312	0.210312
K2_vs_K7	K2	K7	16:21750000	16	21750000	82	1	0.199582	0.199582
K2_vs_K7	K2	K7	17:7500000	17	7500000	42	1	0.225353	0.225353
K2_vs_K7	K2	K7	17:7750000	17	7750000	51	1	0.22535	0.22535
K2_vs_K7	K2	K7	18:3750000	18	3750000	30	1	0.205524	0.205524
K2_vs_K7	K2	K7	18:23000000	18	23000000	31	1	0.244187	0.244187
K3_vs_K4	K3	K4	1:3850000	1	3850000	23	1	0.302619	0.302619
K3_vs_K4	K3	K4	1:10900000	1	10900000	23	1	0.321439	0.321439
K3_vs_K4	K3	K4	1:11100000	1	11100000	47	1	0.316461	0.316461
K3_vs_K4	K3	K4	1:11250000	1	11250000	48	1	0.371069	0.371069
K3_vs_K4	K3	K4	1:11550000	1	11550000	83	1	0.324475	0.324475
K3_vs_K4	K3	K4	1:11900000	1	11900000	87	1	0.319105	0.319105
K3_vs_K4	K3	K4	1:22150000	1	22150000	35	1	0.320783	0.320783
K3_vs_K4	K3	K4	1:23200000	1	23200000	45	1	0.323005	0.323005
K3_vs_K4	K3	K4	1:23350000	1	23350000	20	1	0.304038	0.304038
K3_vs_K4	K3	K4	2:1250000	2	1250000	31	1	0.332028	0.332028
K3_vs_K4	K3	K4	2:6850000	2	6850000	66	1	0.33371	0.33371
K3_vs_K4	K3	K4	3:5650000	3	5650000	57	1	0.313233	0.313233
K3_vs_K4	K3	K4	3:6250000	3	6250000	44	1	0.304979	0.304979
K3_vs_K4	K3	K4	3:8400000	3	8400000	46	1	0.356231	0.356231
K3_vs_K4	K3	K4	3:12600000	3	12600000	55	1	0.340004	0.340004
K3_vs_K4	K3	K4	3:13050000	3	13050000	43	1	0.311538	0.311538
K3_vs_K4	K3	K4	3:17800000	3	17800000	56	1	0.298295	0.298295
K3_vs_K4	K3	K4	4:6600000	4	6600000	23	1	0.329803	0.329803
K3_vs_K4	K3	K4	4:24300000	4	24300000	95	1	0.298143	0.298143
K3_vs_K4	K3	K4	5:12300000	5	12300000	89	1	0.296382	0.296382
K3_vs_K4	K3	K4	8:10800000	8	10800000	27	1	0.40349	0.40349
K3_vs_K4	K3	K4	8:11150000	8	11150000	29	1	0.333864	0.333864
K3_vs_K4	K3	K4	8:12900000	8	12900000	24	1	0.348827	0.348827
K3_vs_K4	K3	K4	10:23900000	10	23900000	24	1	0.331439	0.331439
K3_vs_K4	K3	K4	11:600000	11	600000	23	1	0.301893	0.301893
K3_vs_K4	K3	K4	11:2900000	11	2900000	25	1	0.298029	0.298029
K3_vs_K4	K3	K4	11:3400000	11	3400000	28	1	0.324616	0.324616
K3_vs_K4	K3	K4	11:3850000	11	3850000	48	1	0.335467	0.335467
K3_vs_K4	K3	K4	11:10500000	11	10500000	35	1	0.297609	0.297609
K3_vs_K4	K3	K4	12:14400000	12	14400000	51	1	0.30971	0.30971
K3_vs_K4	K3	K4	12:17900000	12	17900000	82	1	0.347254	0.347254
K3_vs_K4	K3	K4	14:1100000	14	1100000	34	1	0.312105	0.312105
K3_vs_K4	K3	K4	14:8800000	14	8800000	24	1	0.384688	0.384688
K3_vs_K4	K3	K4	14:10550000	14	10550000	36	1	0.308879	0.308879
K3_vs_K4	K3	K4	14:10800000	14	10800000	124	1	0.296251	0.296251
K3_vs_K4	K3	K4	14:10950000	14	10950000	33	1	0.298482	0.298482
K3_vs_K4	K3	K4	14:11200000	14	11200000	41	1	0.324362	0.324362
K3_vs_K4	K3	K4	14:12550000	14	12550000	23	1	0.364131	0.364131
K3_vs_K4	K3	K4	14:13950000	14	13950000	61	1	0.311207	0.311207
K3_vs_K4	K3	K4	14:15650000	14	15650000	21	1	0.316059	0.316059
K3_vs_K4	K3	K4	16:100000	16	100000	37	1	0.299358	0.299358
K3_vs_K4	K3	K4	16:22100000	16	22100000	39	1	0.302671	0.302671
K3_vs_K4	K3	K4	16:22750000	16	22750000	42	1	0.304758	0.304758
K3_vs_K4	K3	K4	17:8800000	17	8800000	24	1	0.300232	0.300232
K3_vs_K4	K3	K4	17:8950000	17	8950000	48	1	0.296848	0.296848
K3_vs_K4	K3	K4	18:2100000	18	2100000	33	1	0.303284	0.303284
K3_vs_K4	K3	K4	18:3550000	18	3550000	33	1	0.301786	0.301786
K3_vs_K4	K3	K4	18:6950000	18	6950000	46	1	0.299801	0.299801
K3_vs_K4	K3	K4	18:7850000	18	7850000	38	1	0.322611	0.322611
K3_vs_K4	K3	K4	18:9450000	18	9450000	25	1	0.332859	0.332859
K3_vs_K4	K3	K4	18:12450000	18	12450000	28	1	0.31195	0.31195
K3_vs_K4	K3	K4	18:13450000	18	13450000	39	1	0.330239	0.330239
K3_vs_K4	K3	K4	18:26750000	18	26750000	27	1	0.415883	0.415883
K3_vs_K4	K3	K4	19:6050000	19	6050000	33	1	0.303586	0.303586
K3_vs_K4	K3	K4	19:6250000	19	6250000	46	1	0.304005	0.304005
K3_vs_K4	K3	K4	19:22900000	19	22900000	63	1	0.316518	0.316518
K3_vs_K4	K3	K4	19:23750000	19	23750000	91	1	0.297184	0.297184
K3_vs_K4	K3	K4	19:24100000	19	24100000	38	1	0.333764	0.333764
K3_vs_K5	K3	K5	1:4800000	1	4800000	49	1	0.267657	0.267657
K3_vs_K5	K3	K5	1:12700000	1	12700000	47	1	0.293553	0.293553
K3_vs_K5	K3	K5	1:13450000	1	13450000	65	1	0.310828	0.310828
K3_vs_K5	K3	K5	1:18500000	1	18500000	33	1	0.259811	0.259811
K3_vs_K5	K3	K5	1:20800000	1	20800000	40	1	0.270328	0.270328
K3_vs_K5	K3	K5	2:1050000	2	1050000	22	1	0.297445	0.297445
K3_vs_K5	K3	K5	2:1950000	2	1950000	41	1	0.279589	0.279589
K3_vs_K5	K3	K5	2:4150000	2	4150000	30	1	0.293328	0.293328
K3_vs_K5	K3	K5	2:4550000	2	4550000	22	1	0.350161	0.350161
K3_vs_K5	K3	K5	2:5250000	2	5250000	47	1	0.272875	0.272875
K3_vs_K5	K3	K5	3:950000	3	950000	50	1	0.270785	0.270785
K3_vs_K5	K3	K5	4:850000	4	850000	35	1	0.290014	0.290014
K3_vs_K5	K3	K5	4:6400000	4	6400000	34	1	0.322553	0.322553
K3_vs_K5	K3	K5	4:23600000	4	23600000	36	1	0.281955	0.281955
K3_vs_K5	K3	K5	5:3100000	5	3100000	53	1	0.287292	0.287292
K3_vs_K5	K3	K5	5:4300000	5	4300000	61	1	0.262577	0.262577
K3_vs_K5	K3	K5	5:5550000	5	5550000	76	1	0.269755	0.269755
K3_vs_K5	K3	K5	5:6200000	5	6200000	35	1	0.264801	0.264801
K3_vs_K5	K3	K5	5:6400000	5	6400000	35	1	0.272369	0.272369
K3_vs_K5	K3	K5	5:14850000	5	14850000	26	1	0.257592	0.257592
K3_vs_K5	K3	K5	6:4900000	6	4900000	26	1	0.276097	0.276097
K3_vs_K5	K3	K5	6:6500000	6	6500000	29	1	0.266602	0.266602
K3_vs_K5	K3	K5	6:7900000	6	7900000	35	1	0.255811	0.255811
K3_vs_K5	K3	K5	6:18050000	6	18050000	34	1	0.271588	0.271588
K3_vs_K5	K3	K5	6:19200000	6	19200000	63	1	0.276189	0.276189
