window	n_pairs	pairs	chrom	start	max_fst	min_snps	kind
15:18550000	2	K1_vs_K3,K5_vs_K6	15	18550000	0.335453	28	shared
7:25200000	2	K1_vs_K4,K2_vs_K4	7	25200000	0.335143	27	group-driven
18:6950000	2	K1_vs_K3,K3_vs_K4	18	6950000	0.334349	46	group-driven
16:2350000	2	K1_vs_K3,K3_vs_K6	16	2350000	0.33432	63	group-driven
19:24100000	2	K3_vs_K4,K3_vs_K6	19	24100000	0.333764	38	group-driven
3:450000	2	K1_vs_K4,K4_vs_K7	3	450000	0.333067	28	group-driven
2:1250000	2	K2_vs_K4,K3_vs_K4	2	1250000	0.332028	31	group-driven
14:13000000	2	K1_vs_K3,K1_vs_K4	14	13000000	0.330842	55	group-driven
4:6400000	2	K2_vs_K3,K3_vs_K5	4	6400000	0.330647	31	group-driven
18:13450000	2	K3_vs_K4,K4_vs_K6	18	13450000	0.330239	39	group-driven
17:11650000	2	K1_vs_K4,K4_vs_K7	17	11650000	0.329185	65	group-driven
4:1100000	2	K5_vs_K6,K5_vs_K7	4	1100000	0.325497	146	group-driven
4:1150000	2	K5_vs_K6,K5_vs_K7	4	1150000	0.325497	146	group-driven
18:22600000	2	K2_vs_K7,K3_vs_K7	18	22600000	0.323695	183	group-driven
18:22650000	2	K2_vs_K7,K3_vs_K7	18	22650000	0.323695	183	group-driven
1:23200000	2	K3_vs_K4,K4_vs_K5	1	23200000	0.323005	45	group-driven
4:17400000	2	K2_vs_K7,K4_vs_K7	4	17400000	0.321446	37	group-driven
18:3750000	2	K2_vs_K7,K3_vs_K7	18	3750000	0.32084	30	group-driven
18:3850000	2	K2_vs_K3,K3_vs_K7	18	3850000	0.32084	36	group-driven
11:5100000	2	K3_vs_K7,K5_vs_K7	11	5100000	0.320571	293	group-driven
1:11900000	2	K3_vs_K4,K4_vs_K5	1	11900000	0.319105	87	group-driven
19:22900000	2	K3_vs_K4,K3_vs_K6	19	22900000	0.316518	63	group-driven
7:21800000	2	K1_vs_K4,K1_vs_K6	7	21800000	0.315705	49	group-driven
6:12150000	2	K1_vs_K4,K4_vs_K5	6	12150000	0.315377	20	group-driven
3:13050000	2	K2_vs_K4,K3_vs_K4	3	13050000	0.311538	43	group-driven
7:20750000	2	K1_vs_K4,K1_vs_K6	7	20750000	0.311456	20	group-driven
9:17750000	2	K3_vs_K4,K3_vs_K6	9	17750000	0.311258	73	group-driven
3:4050000	2	K1_vs_K4,K4_vs_K7	3	4050000	0.30935	53	group-driven
3:4150000	2	K1_vs_K4,K1_vs_K7	3	4150000	0.30935	95	group-driven
10:5950000	2	K2_vs_K7,K3_vs_K7	10	5950000	0.30841	41	group-driven
7:25500000	2	K1_vs_K4,K2_vs_K4	7	25500000	0.308262	34	group-driven
16:11300000	2	K1_vs_K2,K1_vs_K4	16	11300000	0.308055	55	group-driven
8:12300000	2	K2_vs_K7,K3_vs_K4	8	12300000	0.307173	134	shared
1:22450000	2	K3_vs_K5,K4_vs_K5	1	22450000	0.307011	126	group-driven
1:22500000	2	K3_vs_K5,K4_vs_K5	1	22500000	0.307011	126	group-driven
1:22600000	2	K1_vs_K5,K4_vs_K5	1	22600000	0.307011	104	group-driven
1:22650000	2	K1_vs_K5,K4_vs_K5	1	22650000	0.307011	104	group-driven
11:7950000	2	K3_vs_K5,K5_vs_K7	11	7950000	0.305975	36	group-driven
18:3550000	2	K3_vs_K4,K3_vs_K7	18	3550000	0.304429	33	group-driven
3:6850000	2	K2_vs_K3,K2_vs_K6	3	6850000	0.304369	59	group-driven
13:7550000	2	K1_vs_K4,K1_vs_K7	13	7550000	0.304222	95	group-driven
13:7600000	2	K1_vs_K4,K1_vs_K7	13	7600000	0.304222	95	group-driven
6:13650000	2	K2_vs_K3,K2_vs_K4	6	13650000	0.304132	115	group-driven
19:6250000	2	K1_vs_K7,K3_vs_K4	19	6250000	0.304005	46	shared
17:10100000	2	K1_vs_K2,K1_vs_K5	17	10100000	0.303143	342	group-driven
17:10150000	2	K1_vs_K2,K1_vs_K5	17	10150000	0.303143	342	group-driven
17:10200000	2	K1_vs_K2,K1_vs_K5	17	10200000	0.303143	342	group-driven
17:10250000	2	K1_vs_K2,K1_vs_K5	17	10250000	0.303143	342	group-driven
17:10300000	2	K1_vs_K2,K1_vs_K5	17	10300000	0.303143	342	group-driven
10:4950000	2	K1_vs_K2,K1_vs_K4	10	4950000	0.303131	34	group-driven
5:1200000	2	K3_vs_K7,K4_vs_K7	5	1200000	0.301377	20	group-driven
13:2550000	2	K1_vs_K4,K1_vs_K6	13	2550000	0.301233	37	group-driven
7:25050000	2	K1_vs_K4,K4_vs_K5	7	25050000	0.301161	46	group-driven
18:6600000	2	K3_vs_K5,K3_vs_K7	18	6600000	0.3004	32	group-driven
9:13600000	2	K1_vs_K2,K2_vs_K3	9	13600000	0.300057	51	group-driven
14:27950000	2	K3_vs_K7,K5_vs_K7	14	27950000	0.299852	50	group-driven
2:5300000	2	K2_vs_K5,K5_vs_K6	2	5300000	0.299644	257	group-driven
2:5350000	2	K2_vs_K5,K5_vs_K6	2	5350000	0.299644	257	group-driven
16:100000	2	K2_vs_K4,K3_vs_K4	16	100000	0.299358	37	group-driven
14:6150000	2	K1_vs_K4,K4_vs_K7	14	6150000	0.297974	33	group-driven
12:18950000	2	K1_vs_K4,K1_vs_K7	12	18950000	0.297783	31	group-driven
2:1050000	2	K3_vs_K5,K4_vs_K5	2	1050000	0.297445	22	group-driven
14:6500000	2	K1_vs_K6,K4_vs_K6	14	6500000	0.29651	47	group-driven
14:10800000	2	K3_vs_K4,K4_vs_K6	14	10800000	0.296251	124	group-driven
10:18450000	2	K2_vs_K4,K4_vs_K6	10	18450000	0.29511	158	group-driven
14:900000	2	K2_vs_K5,K4_vs_K5	14	900000	0.294908	40	group-driven
6:17650000	2	K3_vs_K7,K4_vs_K7	6	17650000	0.294694	58	group-driven
14:21100000	2	K3_vs_K6,K3_vs_K7	14	21100000	0.294425	45	group-driven
3:150000	2	K4_vs_K5,K4_vs_K7	3	150000	0.293485	60	group-driven
3:200000	2	K1_vs_K4,K4_vs_K7	3	200000	0.293485	22	group-driven
1:12350000	2	K2_vs_K4,K4_vs_K7	1	12350000	0.293173	76	group-driven
16:200000	2	K1_vs_K7,K2_vs_K7	16	200000	0.292033	134	group-driven
16:250000	2	K1_vs_K7,K2_vs_K7	16	250000	0.292033	134	group-driven
17:10650000	2	K1_vs_K4,K3_vs_K5	17	10650000	0.291069	44	shared
7:23550000	2	K1_vs_K4,K1_vs_K6	7	23550000	0.29023	21	group-driven
16:21800000	2	K1_vs_K4,K2_vs_K4	16	21800000	0.288147	34	group-driven
6:12650000	2	K1_vs_K2,K2_vs_K5	6	12650000	0.287596	108	group-driven
7:24750000	2	K3_vs_K5,K3_vs_K7	7	24750000	0.287224	27	group-driven
8:17250000	2	K3_vs_K5,K4_vs_K5	8	17250000	0.285555	46	group-driven
8:17300000	2	K4_vs_K5,K5_vs_K7	8	17300000	0.285555	156	group-driven
8:17350000	2	K4_vs_K5,K5_vs_K7	8	17350000	0.285555	156	group-driven
8:17400000	2	K4_vs_K5,K5_vs_K7	8	17400000	0.285555	156	group-driven
18:23300000	2	K1_vs_K7,K3_vs_K7	18	23300000	0.285085	96	group-driven
7:7800000	2	K3_vs_K6,K3_vs_K7	7	7800000	0.285038	44	group-driven
17:6450000	2	K2_vs_K5,K4_vs_K5	17	6450000	0.284791	65	group-driven
4:23600000	2	K3_vs_K5,K5_vs_K7	4	23600000	0.281955	36	group-driven
17:7350000	2	K4_vs_K5,K4_vs_K6	17	7350000	0.2817	225	group-driven
17:7400000	2	K4_vs_K5,K4_vs_K6	17	7400000	0.2817	225	group-driven
17:7450000	2	K4_vs_K5,K4_vs_K6	17	7450000	0.2817	225	group-driven
12:11100000	2	K3_vs_K7,K6_vs_K7	12	11100000	0.280719	112	group-driven
8:22200000	2	K2_vs_K7,K4_vs_K5	8	22200000	0.278382	22	shared
16:8000000	2	K1_vs_K2,K1_vs_K6	16	8000000	0.277898	193	group-driven
6:17750000	2	K1_vs_K7,K4_vs_K7	6	17750000	0.276198	40	group-driven
6:4900000	2	K3_vs_K5,K5_vs_K6	6	4900000	0.276097	26	group-driven
11:8300000	2	K3_vs_K5,K5_vs_K6	11	8300000	0.274349	25	group-driven
7:7250000	2	K3_vs_K6,K3_vs_K7	7	7250000	0.27389	68	group-driven
14:23000000	2	K3_vs_K6,K3_vs_K7	14	23000000	0.273363	54	group-driven
8:21500000	2	K2_vs_K3,K6_vs_K7	8	21500000	0.272398	55	shared
8:10000000	2	K4_vs_K5,K4_vs_K7	8	10000000	0.270937	51	group-driven
14:6900000	2	K1_vs_K2,K1_vs_K6	14	6900000	0.270287	55	group-driven
18:6450000	2	K3_vs_K5,K3_vs_K6	18	6450000	0.270149	43	group-driven
19:550000	2	K3_vs_K5,K5_vs_K7	19	550000	0.2698	24	group-driven
3:8650000	2	K2_vs_K3,K3_vs_K6	3	8650000	0.26808	83	group-driven
3:8700000	2	K2_vs_K3,K3_vs_K6	3	8700000	0.26808	83	group-driven
13:24500000	2	K2_vs_K5,K3_vs_K5	13	24500000	0.267958	35	group-driven
8:9350000	2	K2_vs_K3,K2_vs_K6	8	9350000	0.266449	21	group-driven
11:3050000	2	K1_vs_K5,K4_vs_K5	11	3050000	0.266381	50	group-driven
3:1000000	2	K4_vs_K5,K4_vs_K6	3	1000000	0.265928	130	group-driven
7:2350000	2	K1_vs_K5,K5_vs_K7	7	2350000	0.26556	80	group-driven
18:10000000	2	K4_vs_K5,K5_vs_K6	18	10000000	0.263884	44	group-driven
9:6950000	2	K2_vs_K3,K2_vs_K6	9	6950000	0.263606	80	group-driven
14:13900000	2	K2_vs_K7,K4_vs_K7	14	13900000	0.263031	81	group-driven
12:7450000	2	K3_vs_K5,K4_vs_K5	12	7450000	0.262782	42	group-driven
18:10750000	2	K2_vs_K5,K3_vs_K5	18	10750000	0.262317	41	group-driven
4:1200000	2	K4_vs_K7,K5_vs_K6	4	1200000	0.26196	40	shared
9:4950000	2	K1_vs_K2,K1_vs_K7	9	4950000	0.261787	54	group-driven
9:10500000	2	K2_vs_K3,K2_vs_K6	9	10500000	0.261737	22	group-driven
8:21250000	2	K2_vs_K4,K4_vs_K7	8	21250000	0.261644	27	group-driven
17:6750000	2	K2_vs_K7,K6_vs_K7	17	6750000	0.261153	27	group-driven
8:8950000	2	K2_vs_K3,K2_vs_K4	8	8950000	0.26043	34	group-driven
1:18500000	2	K3_vs_K5,K5_vs_K6	1	18500000	0.259811	33	group-driven
3:7200000	2	K2_vs_K3,K2_vs_K6	3	7200000	0.259201	56	group-driven
1:14650000	2	K1_vs_K5,K4_vs_K5	1	14650000	0.258983	65	group-driven
14:28800000	2	K3_vs_K5,K5_vs_K6	14	28800000	0.258817	22	group-driven
11:18250000	2	K3_vs_K5,K3_vs_K6	11	18250000	0.257789	66	group-driven
14:8300000	2	K4_vs_K7,K5_vs_K7	14	8300000	0.257316	106	group-driven
3:650000	2	K4_vs_K5,K4_vs_K6	3	650000	0.256665	43	group-driven
17:7250000	2	K4_vs_K6,K5_vs_K6	17	7250000	0.255508	166	group-driven
8:13300000	2	K4_vs_K5,K4_vs_K7	8	13300000	0.255351	54	group-driven
4:2900000	2	K1_vs_K2,K2_vs_K7	4	2900000	0.255163	31	group-driven
4:3000000	2	K1_vs_K2,K2_vs_K6	4	3000000	0.255163	36	group-driven
14:22500000	2	K1_vs_K5,K4_vs_K5	14	22500000	0.255065	45	group-driven
6:16300000	2	K2_vs_K4,K4_vs_K7	6	16300000	0.255004	58	group-driven
19:22700000	2	K1_vs_K7,K3_vs_K6	19	22700000	0.254862	54	shared
7:2000000	2	K1_vs_K5,K4_vs_K5	7	2000000	0.254386	37	group-driven
1:5850000	2	K1_vs_K7,K6_vs_K7	1	5850000	0.254129	51	group-driven
4:650000	2	K1_vs_K5,K5_vs_K6	4	650000	0.25397	99	group-driven
4:700000	2	K1_vs_K5,K5_vs_K6	4	700000	0.25397	99	group-driven
6:13200000	2	K1_vs_K2,K2_vs_K3	6	13200000	0.253772	75	group-driven
2:4300000	2	K1_vs_K5,K6_vs_K7	2	4300000	0.253504	45	shared
13:7000000	2	K1_vs_K5,K1_vs_K7	13	7000000	0.253483	191	group-driven
4:21600000	2	K1_vs_K5,K1_vs_K6	4	21600000	0.253233	66	group-driven
14:22650000	2	K1_vs_K5,K4_vs_K5	14	22650000	0.252566	47	group-driven
9:7450000	2	K1_vs_K2,K2_vs_K6	9	7450000	0.2521	83	group-driven
8:18150000	2	K1_vs_K5,K5_vs_K7	8	18150000	0.250392	29	group-driven
13:1200000	2	K2_vs_K3,K2_vs_K6	13	1200000	0.250123	67	group-driven
13:1250000	2	K2_vs_K3,K2_vs_K6	13	1250000	0.250123	67	group-driven
18:7450000	2	K2_vs_K3,K3_vs_K6	18	7450000	0.249321	67	group-driven
8:15900000	2	K1_vs_K5,K4_vs_K5	8	15900000	0.249105	37	group-driven
8:7550000	2	K2_vs_K5,K2_vs_K6	8	7550000	0.248761	58	group-driven
8:20400000	2	K2_vs_K3,K5_vs_K6	8	20400000	0.246989	24	shared
12:9200000	2	K1_vs_K5,K5_vs_K7	12	9200000	0.246116	47	group-driven
10:6800000	2	K1_vs_K7,K2_vs_K7	10	6800000	0.245811	88	group-driven
6:9050000	2	K2_vs_K5,K4_vs_K5	6	9050000	0.24466	25	group-driven
6:16450000	2	K4_vs_K5,K5_vs_K7	6	16450000	0.244426	67	group-driven
14:4500000	2	K1_vs_K2,K1_vs_K6	14	4500000	0.244239	68	group-driven
18:23000000	2	K1_vs_K7,K2_vs_K7	18	23000000	0.244187	28	group-driven
2:4500000	2	K2_vs_K5,K5_vs_K6	2	4500000	0.24326	122	group-driven
2:4650000	2	K2_vs_K5,K5_vs_K6	2	4650000	0.24326	122	group-driven
18:8000000	2	K1_vs_K5,K2_vs_K4	18	8000000	0.242729	52	shared
18:12100000	2	K1_vs_K5,K2_vs_K5	18	12100000	0.241662	43	group-driven
9:4350000	2	K1_vs_K7,K2_vs_K6	9	4350000	0.241051	104	shared
8:18250000	2	K1_vs_K2,K2_vs_K7	8	18250000	0.238721	33	group-driven
7:22450000	2	K1_vs_K6,K2_vs_K6	7	22450000	0.238131	85	group-driven
3:3550000	2	K2_vs_K7,K5_vs_K7	3	3550000	0.234198	35	group-driven
6:4650000	2	K5_vs_K6,K5_vs_K7	6	4650000	0.233356	40	group-driven
4:200000	2	K2_vs_K6,K2_vs_K7	4	200000	0.22984	67	group-driven
10:5900000	2	K2_vs_K6,K2_vs_K7	10	5900000	0.22867	52	group-driven
7:18100000	2	K1_vs_K6,K5_vs_K6	7	18100000	0.228134	53	group-driven
18:5350000	2	K5_vs_K6,K5_vs_K7	18	5350000	0.227898	29	group-driven
7:7200000	2	K3_vs_K6,K6_vs_K7	7	7200000	0.226517	46	group-driven
1:2750000	2	K1_vs_K6,K6_vs_K7	1	2750000	0.226389	44	group-driven
1:2200000	2	K1_vs_K6,K5_vs_K6	1	2200000	0.225247	46	group-driven
1:2250000	2	K1_vs_K6,K6_vs_K7	1	2250000	0.225247	40	group-driven
18:600000	2	K2_vs_K4,K2_vs_K6	18	600000	0.224201	51	group-driven
5:25400000	2	K3_vs_K6,K4_vs_K6	5	25400000	0.223344	110	group-driven
14:11400000	2	K1_vs_K6,K3_vs_K6	14	11400000	0.223289	73	group-driven
5:17350000	2	K3_vs_K6,K6_vs_K7	5	17350000	0.222933	52	group-driven
7:2450000	2	K2_vs_K5,K2_vs_K6	7	2450000	0.222909	48	group-driven
8:11500000	2	K2_vs_K4,K2_vs_K5	8	11500000	0.222632	63	group-driven
18:34750000	2	K1_vs_K6,K2_vs_K6	18	34750000	0.220491	64	group-driven
2:9050000	2	K2_vs_K7,K6_vs_K7	2	9050000	0.219588	47	group-driven
16:18250000	2	K1_vs_K6,K6_vs_K7	16	18250000	0.21889	55	group-driven
16:4250000	2	K1_vs_K6,K6_vs_K7	16	4250000	0.218846	44	group-driven
11:2350000	2	K2_vs_K5,K5_vs_K7	11	2350000	0.218786	28	group-driven
14:1400000	2	K5_vs_K6,K5_vs_K7	14	1400000	0.218761	23	group-driven
14:26950000	2	K2_vs_K5,K5_vs_K7	14	26950000	0.218453	57	group-driven
6:7550000	2	K1_vs_K6,K5_vs_K6	6	7550000	0.218023	51	group-driven
10:5350000	2	K2_vs_K5,K2_vs_K7	10	5350000	0.216664	32	group-driven
3:5750000	2	K2_vs_K5,K2_vs_K6	3	5750000	0.215761	23	group-driven
3:5400000	2	K1_vs_K6,K2_vs_K6	3	5400000	0.215392	67	group-driven
8:8100000	2	K2_vs_K7,K6_vs_K7	8	8100000	0.213348	40	group-driven
10:850000	2	K2_vs_K6,K3_vs_K6	10	850000	0.213189	21	group-driven
1:23150000	2	K2_vs_K4,K4_vs_K6	1	23150000	0.212244	25	group-driven
4:24500000	2	K1_vs_K6,K6_vs_K7	4	24500000	0.212129	58	group-driven
5:7100000	2	K2_vs_K4,K2_vs_K6	5	7100000	0.212062	98	group-driven
14:13700000	2	K2_vs_K4,K4_vs_K6	14	13700000	0.211695	74	group-driven
3:7100000	2	K2_vs_K6,K2_vs_K7	3	7100000	0.211626	82	group-driven
8:13000000	2	K2_vs_K4,K4_vs_K6	8	13000000	0.210807	47	group-driven
5:22950000	2	K2_vs_K6,K6_vs_K7	5	22950000	0.209776	60	group-driven
7:14350000	2	K1_vs_K6,K3_vs_K6	7	14350000	0.208044	25	group-driven
3:6500000	2	K2_vs_K6,K5_vs_K6	3	6500000	0.207777	36	group-driven
11:3750000	2	K2_vs_K5,K5_vs_K6	11	3750000	0.20419	54	group-driven
1:15650000	2	K2_vs_K6,K5_vs_K6	1	15650000	0.198446	47	group-driven
9:10550000	2	K2_vs_K6,K4_vs_K6	9	10550000	0.189881	82	group-driven
4:1950000	2	K3_vs_K6,K5_vs_K6	4	1950000	0.188948	28	group-driven
10:9100000	2	K2_vs_K6,K4_vs_K6	10	9100000	0.186619	52	group-driven
6:11900000	2	K2_vs_K6,K6_vs_K7	6	11900000	0.186563	48	group-driven
8:9450000	2	K2_vs_K6,K4_vs_K6	8	9450000	0.184689	65	group-driven
11:500000	2	K2_vs_K6,K5_vs_K6	11	500000	0.178063	33	group-driven
7:25700000	1	K1_vs_K4	7	25700000	0.444737	130	group-driven
7:25750000	1	K1_vs_K4	7	25750000	0.444737	130	group-driven
7:25800000	1	K1_vs_K4	7	25800000	0.444737	130	group-driven
7:25850000	1	K1_vs_K4	7	25850000	0.444737	130	group-driven
7:25900000	1	K1_vs_K4	7	25900000	0.444737	130	group-driven
18:26750000	1	K3_vs_K4	18	26750000	0.415883	27	group-driven
7:24200000	1	K1_vs_K3	7	24200000	0.410646	104	group-driven
8:12550000	1	K3_vs_K4	8	12550000	0.401638	176	group-driven
8:12700000	1	K3_vs_K4	8	12700000	0.401638	176	group-driven
1:20350000	1	K1_vs_K3	1	20350000	0.40028	39	group-driven
14:12400000	1	K1_vs_K3	14	12400000	0.394432	42	group-driven
1:20700000	1	K1_vs_K3	1	20700000	0.393711	104	group-driven
1:20750000	1	K1_vs_K3	1	20750000	0.393711	104	group-driven
8:10900000	1	K1_vs_K3	8	10900000	0.379281	94	group-driven
19:5550000	1	K3_vs_K4	19	5550000	0.372535	81	group-driven
18:21250000	1	K3_vs_K7	18	21250000	0.370126	33	group-driven
19:5200000	1	K1_vs_K3	19	5200000	0.366312	33	group-driven
8:11350000	1	K3_vs_K4	8	11350000	0.360453	72	group-driven
8:11400000	1	K3_vs_K4	8	11400000	0.360453	72	group-driven
18:7300000	1	K1_vs_K3	18	7300000	0.358885	121	group-driven
13:4450000	1	K1_vs_K3	13	4450000	0.352142	28	group-driven
8:12900000	1	K3_vs_K4	8	12900000	0.348827	24	group-driven
9:700000	1	K1_vs_K4	9	700000	0.347033	110	group-driven
18:24250000	1	K1_vs_K3	18	24250000	0.346338	24	group-driven
14:23050000	1	K1_vs_K3	14	23050000	0.344823	71	group-driven
6:6250000	1	K1_vs_K4	6	6250000	0.341238	22	group-driven
3:5300000	1	K1_vs_K3	3	5300000	0.340683	51	group-driven
3:5350000	1	K1_vs_K3	3	5350000	0.340683	51	group-driven
3:17850000	1	K1_vs_K3	3	17850000	0.338039	77	group-driven
18:32200000	1	K3_vs_K4	18	32200000	0.337586	103	group-driven
18:32250000	1	K3_vs_K4	18	32250000	0.337586	103	group-driven
11:3850000	1	K3_vs_K4	11	3850000	0.335467	48	group-driven
1:23650000	1	K3_vs_K4	1	23650000	0.334778	119	group-driven
1:23700000	1	K3_vs_K4	1	23700000	0.334778	119	group-driven
1:23750000	1	K3_vs_K4	1	23750000	0.334778	119	group-driven
8:11150000	1	K3_vs_K4	8	11150000	0.333864	29	group-driven
18:9450000	1	K3_vs_K4	18	9450000	0.332859	25	group-driven
6:20650000	1	K4_vs_K7	6	20650000	0.332095	113	group-driven
14:8750000	1	K1_vs_K4	14	8750000	0.331636	55	group-driven
1:3350000	1	K3_vs_K7	1	3350000	0.331441	93	group-driven
10:23900000	1	K3_vs_K4	10	23900000	0.331439	24	group-driven
13:26050000	1	K1_vs_K3	13	26050000	0.331195	37	group-driven
4:6600000	1	K3_vs_K4	4	6600000	0.329803	23	group-driven
19:4050000	1	K1_vs_K3	19	4050000	0.328092	41	group-driven
1:21000000	1	K1_vs_K3	1	21000000	0.327237	48	group-driven
12:22600000	1	K1_vs_K4	12	22600000	0.326982	56	group-driven
14:22700000	1	K1_vs_K3	14	22700000	0.326698	68	group-driven
18:24400000	1	K1_vs_K3	18	24400000	0.326178	57	group-driven
3:9050000	1	K2_vs_K3	3	9050000	0.325354	73	group-driven
3:9100000	1	K2_vs_K3	3	9100000	0.325354	73	group-driven
18:22750000	1	K3_vs_K7	18	22750000	0.323695	183	group-driven
1:10700000	1	K4_vs_K7	1	10700000	0.323103	48	group-driven
6:12450000	1	K2_vs_K3	6	12450000	0.32232	106	group-driven
14:17900000	1	K4_vs_K7	14	17900000	0.322189	231	group-driven
1:22150000	1	K3_vs_K4	1	22150000	0.320783	35	group-driven
16:900000	1	K1_vs_K4	16	900000	0.320493	56	group-driven
11:3150000	1	K3_vs_K4	11	3150000	0.320124	134	group-driven
11:3200000	1	K3_vs_K4	11	3200000	0.320124	134	group-driven
8:13850000	1	K3_vs_K7	8	13850000	0.316472	20	group-driven
14:15650000	1	K3_vs_K4	14	15650000	0.316059	21	group-driven
3:5650000	1	K3_vs_K4	3	5650000	0.313233	57	group-driven
11:4650000	1	K3_vs_K5	11	4650000	0.312508	133	group-driven
7:6800000	1	K3_vs_K7	7	6800000	0.311369	116	group-driven
7:6850000	1	K3_vs_K7	7	6850000	0.311369	116	group-driven
15:16000000	1	K1_vs_K4	15	16000000	0.310054	44	group-driven
11:10800000	1	K3_vs_K5	11	10800000	0.309988	102	group-driven
12:14400000	1	K3_vs_K4	12	14400000	0.30971	51	group-driven
7:25450000	1	K1_vs_K4	7	25450000	0.308262	92	group-driven
7:25550000	1	K1_vs_K4	7	25550000	0.308262	92	group-driven
8:22050000	1	K4_vs_K7	8	22050000	0.307688	60	group-driven
8:22100000	1	K4_vs_K7	8	22100000	0.307688	60	group-driven
8:22150000	1	K4_vs_K7	8	22150000	0.307688	60	group-driven
6:5950000	1	K1_vs_K4	6	5950000	0.307317	25	group-driven
8:12350000	1	K3_vs_K4	8	12350000	0.307173	147	group-driven
11:3450000	1	K3_vs_K5	11	3450000	0.306758	84	group-driven
10:16500000	1	K1_vs_K4	10	16500000	0.306379	85	group-driven
6:1400000	1	K3_vs_K7	6	1400000	0.306231	50	group-driven
11:7900000	1	K3_vs_K5	11	7900000	0.305975	102	group-driven
4:23400000	1	K1_vs_K4	4	23400000	0.305374	45	group-driven
16:22750000	1	K3_vs_K4	16	22750000	0.304758	42	group-driven
2:1600000	1	K3_vs_K7	2	1600000	0.304545	49	group-driven
3:6800000	1	K2_vs_K3	3	6800000	0.304369	77	group-driven
6:13700000	1	K2_vs_K3	6	13700000	0.304132	291	group-driven
6:13750000	1	K2_vs_K3	6	13750000	0.304132	291	group-driven
6:13800000	1	K2_vs_K3	6	13800000	0.304132	291	group-driven
12:5300000	1	K1_vs_K4	12	5300000	0.303952	25	group-driven
19:6050000	1	K3_vs_K4	19	6050000	0.303586	33	group-driven
1:3850000	1	K3_vs_K4	1	3850000	0.302619	23	group-driven
3:2150000	1	K1_vs_K4	3	2150000	0.302485	34	group-driven
11:600000	1	K3_vs_K4	11	600000	0.301893	23	group-driven
3:350000	1	K4_vs_K7	3	350000	0.301689	64	group-driven
3:400000	1	K4_vs_K7	3	400000	0.301689	64	group-driven
10:15500000	1	K1_vs_K4	10	15500000	0.301331	52	group-driven
16:2600000	1	K1_vs_K4	16	2600000	0.300357	36	group-driven
10:16050000	1	K1_vs_K4	10	16050000	0.299773	104	group-driven
6:21050000	1	K1_vs_K2	6	21050000	0.299268	221	group-driven
7:24900000	1	K1_vs_K4	7	24900000	0.298485	30	group-driven
14:10950000	1	K3_vs_K4	14	10950000	0.298482	33	group-driven
3:17800000	1	K3_vs_K4	3	17800000	0.298295	56	group-driven
4:24300000	1	K3_vs_K4	4	24300000	0.298143	95	group-driven
12:20800000	1	K1_vs_K4	12	20800000	0.297994	64	group-driven
6:21250000	1	K1_vs_K2	6	21250000	0.297928	229	group-driven
6:21300000	1	K1_vs_K2	6	21300000	0.297928	229	group-driven
6:21350000	1	K1_vs_K2	6	21350000	0.297928	229	group-driven
10:750000	1	K2_vs_K3	10	750000	0.297749	88	group-driven
19:23750000	1	K3_vs_K4	19	23750000	0.297184	91	group-driven
5:12300000	1	K3_vs_K4	5	12300000	0.296382	89	group-driven
16:1800000	1	K3_vs_K7	16	1800000	0.296328	41	group-driven
17:8900000	1	K4_vs_K5	17	8900000	0.294474	112	group-driven
1:10450000	1	K4_vs_K7	1	10450000	0.294223	49	group-driven
11:16100000	1	K3_vs_K7	11	16100000	0.293498	31	group-driven
2:4950000	1	K1_vs_K2	2	4950000	0.293222	257	group-driven
2:5000000	1	K1_vs_K2	2	5000000	0.293222	257	group-driven
1:12300000	1	K4_vs_K7	1	12300000	0.293173	303	group-driven
19:2500000	1	K3_vs_K5	19	2500000	0.292292	46	group-driven
16:150000	1	K1_vs_K7	16	150000	0.292033	152	group-driven
14:17400000	1	K5_vs_K7	14	17400000	0.291708	86	group-driven
16:17300000	1	K1_vs_K7	16	17300000	0.29073	69	group-driven
11:5150000	1	K5_vs_K7	11	5150000	0.289918	439	group-driven
11:7350000	1	K3_vs_K5	11	7350000	0.289653	65	group-driven
3:9550000	1	K2_vs_K3	3	9550000	0.28947	173	group-driven
14:18950000	1	K2_vs_K3	14	18950000	0.288988	73	group-driven
11:5350000	1	K4_vs_K5	11	5350000	0.288495	83	group-driven
11:5400000	1	K4_vs_K5	11	5400000	0.288495	83	group-driven
11:5450000	1	K4_vs_K5	11	5450000	0.288495	83	group-driven
8:17750000	1	K5_vs_K7	8	17750000	0.288343	98	group-driven
2:8250000	1	K3_vs_K7	2	8250000	0.288023	57	group-driven
10:1500000	1	K3_vs_K7	10	1500000	0.287741	22	group-driven
6:12550000	1	K2_vs_K5	6	12550000	0.287596	250	group-driven
6:12600000	1	K2_vs_K5	6	12600000	0.287596	250	group-driven
5:3100000	1	K3_vs_K5	5	3100000	0.287292	53	group-driven
12:18150000	1	K1_vs_K4	12	18150000	0.287119	91	group-driven
9:5100000	1	K4_vs_K5	9	5100000	0.285933	157	group-driven
9:5150000	1	K4_vs_K5	9	5150000	0.285933	157	group-driven
9:5200000	1	K4_vs_K5	9	5200000	0.285933	157	group-driven
18:5450000	1	K3_vs_K5	18	5450000	0.28563	74	group-driven
18:5500000	1	K3_vs_K5	18	5500000	0.28563	74	group-driven
